title,source,link
Nvidia says working with partners to make AI supercomputers in US for the first time,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/nvidia-says-working-with-partners-to-make-ai-supercomputers-in-us-for-the-first-time/articleshow/120284250.cms
Meta says will resume AI training with public content from European users,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/meta-says-will-resume-ai-training-with-public-content-from-european-users/articleshow/120284097.cms
Wipro Consumer Care Ventures leads early funding in Singaporean women’s health startup,Economic Times,https://economictimes.indiatimes.com/tech/funding/wipro-consumer-care-ventures-leads-early-funding-in-singaporean-womens-health-startup/articleshow/120283638.cms
Foxconn heads north; Influencers under check,Economic Times,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/foxconn-heads-north-influencers-under-check/articleshow/120282924.cms
Nvidia aims to produce AI tools worth up to $500 billion in US over four years,Economic Times,https://economictimes.indiatimes.com/tech/technology/nvidia-aims-to-produce-ai-tools-worth-up-to-500-billion-in-us-over-four-years/articleshow/120283182.cms
HCLTech integrates Nvidia AI software with GenAI solutions,Economic Times,https://economictimes.indiatimes.com/tech/information-tech/hcltech-integrates-nvidia-ai-softwares-with-genai-solutions/articleshow/120282938.cms
Intel to sell 51% stake in Altera to Silver Lake,Economic Times,https://economictimes.indiatimes.com/tech/technology/intel-to-sell-51-stake-in-altera-to-silver-lake/articleshow/120282105.cms
"Building deep tech isn't just on startups; govt, industry must step up, too: Sanjeev Bikhchandani",Economic Times,https://economictimes.indiatimes.com/tech/startups/building-deep-tech-isnt-just-on-startups-govt-industry-must-step-up-too-sanjeev-bikhchandani/articleshow/120280844.cms
Apple shares lead tech higher after tariff exemptions,Economic Times,https://economictimes.indiatimes.com/tech/technology/apple-shares-lead-tech-higher-after-tariff-exemptions/articleshow/120279343.cms
"Meta faces historic antitrust trial that could force it to break off Instagram, WhatsApp",Economic Times,https://economictimes.indiatimes.com/tech/technology/meta-faces-historic-antitrust-trial-that-could-force-it-to-break-off-instagram-whatsapp/articleshow/120279278.cms
"John Abraham backed ice cream brand Noto raises Rs 21 crore from Equentis Angel Fund, others",Economic Times,https://economictimes.indiatimes.com/tech/funding/john-abraham-backed-ice-cream-brand-noto-raises-rs-21-crore-from-equentis-angel-fund-others/articleshow/120277963.cms
ETtech Explainer: How Karnataka’s gig worker tax could change the app economy,Economic Times,https://economictimes.indiatimes.com/tech/technology/ettech-explainer-how-karnatakas-gig-worker-tax-could-change-the-app-economy/articleshow/120277667.cms
"Deeptech imaging startup Optimized Electrotech raises $6 million from Blume Ventures, Mela Ventures, others",Economic Times,https://economictimes.indiatimes.com/tech/funding/deeptech-imaging-startup-optimized-electrotech-raises-6-million-from-blume-ventures-mela-ventures-others/articleshow/120277368.cms
"Tech layoffs: Google, Microsoft, Meta among companies leading 2025 layoffs",Economic Times,https://economictimes.indiatimes.com/tech/technology/tech-layoffs-google-microsoft-meta-among-companies-leading-2025-layoffs/articleshow/120276880.cms
ETtech Explainer: Trump targets semiconductors as tariff relief for tech firms nears end,Economic Times,https://economictimes.indiatimes.com/tech/technology/ettech-explainer-trump-targets-semiconductors-as-tariff-relief-for-tech-firms-nears-end/articleshow/120276726.cms
"Government to provide major part of Rs 10,000 crore startup fund to sectors like new age tech, AI",Economic Times,https://economictimes.indiatimes.com/tech/startups/government-to-provide-major-part-of-rs-10000-crore-startup-fund-to-sectors-like-new-age-tech-ai/articleshow/120273987.cms
What to know about Donald Trump's antitrust efforts against tech giants,Economic Times,https://economictimes.indiatimes.com/tech/technology/what-to-know-about-donald-trumps-antitrust-efforts-against-tech-giants/articleshow/120272560.cms
YouTube introduces AI-generated background music tool for creators,Economic Times,https://economictimes.indiatimes.com/tech/technology/youtube-introduces-ai-generated-background-music-tool-for-creators/articleshow/120272172.cms
OpenAI to roll out ID checks for some users,Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/openai-to-roll-out-id-checks-for-some-users/articleshow/120270566.cms
TSMC first-quarter profit likely soared but Trump policies cloud outlook,Economic Times,https://economictimes.indiatimes.com/tech/technology/tsmc-first-quarter-profit-likely-soared-but-trump-policies-cloud-outlook/articleshow/120269489.cms
US prepares to challenge Meta's social media dominance,Economic Times,https://economictimes.indiatimes.com/tech/technology/us-prepares-to-challenge-metas-social-media-dominance/articleshow/120269071.cms
Taiwan tech supply chain stocks bounce back after Trump tariff exemptions,Economic Times,https://economictimes.indiatimes.com/tech/technology/taiwan-tech-supply-chain-stocks-bounce-back-after-trump-tariff-exemptions/articleshow/120267649.cms
"Some top tech leaders have embraced Trump, that's created a political divide in Silicon Valley",Economic Times,https://economictimes.indiatimes.com/tech/technology/some-top-tech-leaders-have-embraced-trump-thats-created-a-political-divide-in-silicon-valley/articleshow/120267083.cms
Cred’s valuation cut; BluSmart ends ride,Economic Times,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/creds-valuation-cut-blusmart-ends-ride/articleshow/120266617.cms
"From IT to ice cream to concrete, Indian startups doing it all",Economic Times,https://economictimes.indiatimes.com/tech/startups/from-it-to-ice-cream-to-concrete-indian-startups-doing-it-all/articleshow/120261704.cms
Scoop: Cred in talks to raise new funds as valuation slips by over 30% to $4 billion,Economic Times,https://economictimes.indiatimes.com/tech/startups/scoop-cred-in-talks-to-raise-new-funds-as-valuation-slips-by-over-30-to-4-billion/articleshow/120261622.cms
Self-regulatory body to fix guardrails for growing influencer marketing business,Economic Times,https://economictimes.indiatimes.com/tech/technology/self-regulatory-body-to-fix-guardrails-for-growing-influencer-marketing-business/articleshow/120261492.cms
"Exclusive: BluSmart may end cab-hailing trip, hit reverse gear",Economic Times,https://economictimes.indiatimes.com/tech/startups/blusmart-may-end-cab-hailing-trip-hit-reverse-gear/articleshow/120261317.cms
True north: Foxconn plans first solo UP unit,Economic Times,https://economictimes.indiatimes.com/tech/technology/north-start-foxconn-planning-second-up-unit/articleshow/120261200.cms
"In times of tariff war, India to play key role in US supply chain",Economic Times,https://economictimes.indiatimes.com/tech/technology/us-chip-companies-see-india-in-key-role/articleshow/120261047.cms
Cricketer Jasprit Bumrah backs luggage startup Uppercase as an investor,Economic Times,https://economictimes.indiatimes.com/tech/startups/cricketer-jasprit-bumrah-backs-luggage-startup-uppercase-as-an-investor/articleshow/120260979.cms
Bill Gates predicts AI will replace both blue-and white-collar jobs,Economic Times,https://economictimes.indiatimes.com/tech/technology/bill-gates-predicts-ai-to-replace-both-blue-and-white-collar-jobs/articleshow/120257285.cms
"In San Francisco, job and date seekers tap robotaxis with handwritten notes",Economic Times,https://economictimes.indiatimes.com/tech/technology/in-san-francisco-job-and-date-seekers-tap-robotaxis-with-handwritten-notes/articleshow/120255167.cms
Karnataka may levy differential fee on app-based services to fund gig workers welfare,Economic Times,https://economictimes.indiatimes.com/tech/technology/karnataka-may-levy-differential-fee-on-app-based-services-to-fund-gig-workers-welfare/articleshow/120254197.cms
"India's fintech has come far, but so much more to be done: MobiKwik's Upasana Taku",Economic Times,https://economictimes.indiatimes.com/tech/technology/indias-fintech-has-come-far-but-so-much-more-to-be-done-as-entrepreneur-am-excited-about-future-mobikwiks-upasana-taku/articleshow/120253248.cms
Wall Street ends higher with Apple shares as investors assess tariff exemptions,Moneycontrol,https://www.moneycontrol.com/news/business/wall-street-ends-higher-with-apple-shares-as-investors-assess-tariff-exemptions-12994082.html
Asian stocks rise led by Japan on auto tariff reprieve,Moneycontrol,https://www.moneycontrol.com/news/business/asian-stocks-rise-led-by-japan-on-auto-tariff-reprieve-12994078.html
"US steps up probes into pharmaceutical, chip imports, setting stage for tariffs",Moneycontrol,https://www.moneycontrol.com/news/business/us-steps-up-probes-into-pharmaceutical-chip-imports-setting-stage-for-tariffs-12994075.html
Trump floats temporary reprieve for autos as parts tariffs loom,Moneycontrol,https://www.moneycontrol.com/news/business/trump-floats-temporary-reprieve-for-autos-as-parts-tariffs-loom-12994074.html
Eli Lilly's Mounjaro launch in India ignites wave of weight-loss enquiries,Moneycontrol,https://www.moneycontrol.com/news/business/eli-lilly-s-mounjaro-launch-in-india-ignites-wave-of-weight-loss-enquiries-12994073.html
South Korea unveils $23 billion support package for chips amid US tariff uncertainty,Moneycontrol,https://www.moneycontrol.com/news/business/south-korea-unveils-23-billion-support-package-for-chips-amid-us-tariff-uncertainty-12994072.html
"Tech, auto shares gain as Trump floats more tariff exemptions amid confusion",Moneycontrol,https://www.moneycontrol.com/news/business/tech-auto-shares-gain-as-trump-floats-more-tariff-exemptions-amid-confusion-12994071.html
MC Exclusive | Lendingkart taps veteran banker Prashant Joshi as CEO after Fullerton takeover,Moneycontrol,https://www.moneycontrol.com/news/business/startup/mc-exclusive-lendingkart-taps-veteran-banker-prashant-joshi-as-ceo-after-fullerton-takeover-12994013.html
"Daily Voice: 10% tariff and 90-day pause offer trade partners key opportunity for negotiations with US, says Waterfield's Vipul Bhowar",Moneycontrol,https://www.moneycontrol.com/news/business/markets/daily-voice-10-tariff-and-90-day-pause-offer-trade-partners-key-opportunity-for-negotiations-with-us-says-waterfield-s-vipul-bhowar-12994067.html
"Stocks to Watch Today: Zydus Lifesciences, Ashoka Buildcon, Nureca, Cyient, Ahluwalia Contracts, Transrail Lighting, Swiggy in focus on 15 April",Moneycontrol,https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-zydus-lifesciences-ashoka-buildcon-nureca-cyient-ahluwalia-contracts-transrail-lighting-swiggy-in-focus-on-15-april-12993004.html
"Trade Spotlight: How should you trade Valor Estate, Cholamandalam Financial, ITC, Clean Science, Deepak Fertilisers, Gujarat Gas, and others on April 15?",Moneycontrol,https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-valor-estate-cholamandalam-financial-itc-clean-science-deepak-fertilisers-gujarat-gas-and-others-on-april-15-12994049.html
"Trading Plan: Will Nifty 50, Bank Nifty extend northward journey on April 15?",Moneycontrol,https://www.moneycontrol.com/news/business/markets/trading-plan-will-nifty-50-bank-nifty-extend-northward-journey-on-april-15-12994046.html
Nvidia to produce AI servers worth up to $500 billion in US over four years,Moneycontrol,https://www.moneycontrol.com/news/business/nvidia-to-produce-ai-servers-worth-up-to-500-billion-in-us-over-four-years-12994021.html
Trade setup for April 15: Top 15 things to know before the opening bell,Moneycontrol,https://www.moneycontrol.com/news/business/markets/trade-setup-for-april-15-top-15-things-to-know-before-the-opening-bell-12993937.html
What are the thorny farm issues in India-US trade negotiations?,Moneycontrol,https://www.moneycontrol.com/news/economy/agriculture/what-are-the-thorny-farm-issues-in-india-us-trade-negotiations-12993994.html
'Something worse than recession': Billionaire Ray Dalio who made 2008 meltdown forecast has fresh warning for US,Moneycontrol,https://www.moneycontrol.com/news/business/something-worse-than-recession-billionaire-ray-dalio-who-made-2008-meltdown-forecast-has-fresh-warning-for-us-12993895.html
Wall Street: Big tech leads stocks relief rally after weekend tariff pause,Moneycontrol,https://www.moneycontrol.com/news/business/markets/wall-street-big-tech-leads-stocks-relief-rally-after-weekend-tariff-pause-12993889.html
Deepak Shenoy's Capitalmind gets Sebi nod to launch mutual fund services,Moneycontrol,https://www.moneycontrol.com/news/business/deepak-shenoy-s-capitalmind-gets-sebi-nod-to-launch-mutual-fund-services-12993805.html
US index futures higher by 1.5 percent on temporary tariff relief on electronics,Moneycontrol,https://www.moneycontrol.com/news/business/markets/us-index-futures-higher-by-1-5-percent-on-temporary-tariff-relief-on-electronics-12993735.html
"Toasters, alarm clocks, umbrellas, toys! US to feel the pain with higher tariffs on China",Moneycontrol,https://www.moneycontrol.com/news/business/economy/toasters-alarm-clocks-umbrellas-toys-us-to-feel-the-pain-with-higher-tariffs-on-china-12993727.html
"Bank of India lowers home loan rates by 25 bps for new, existing customers",Moneycontrol,https://www.moneycontrol.com/news/business/bank-of-india-lowers-home-loan-rates-by-25-bps-for-new-existing-customers-12993726.html
"HDFC Bank cuts savings rates, BoI lowers FD rates: How does this affect account holders?",Moneycontrol,https://www.moneycontrol.com/news/business/personal-finance/hdfc-bank-cuts-savings-rates-boi-lowers-fd-rates-how-does-this-affect-account-holders-12993437.html
"Portal to track and transfer dividend, unclaimed shares worth Rs 1 lakh crore by August",Moneycontrol,https://www.moneycontrol.com/news/business/markets/portal-to-track-and-transfer-dividend-unclaimed-shares-worth-rs-1-lakh-crore-by-august-12993692.html
India will have a tough time catching up with Chinese smartphone exports to the US,Moneycontrol,https://www.moneycontrol.com/news/business/economy/india-will-have-a-tough-time-catching-up-with-chinese-smartphone-exports-to-the-us-12993252.html
SBI cuts interest rates on select fixed deposits. Check the latest FD rates,Moneycontrol,https://www.moneycontrol.com/news/business/personal-finance/sbi-cuts-interest-rates-on-select-fixed-deposits-check-the-latest-fd-rates-12993457.html
Download TCS Data Sheet,TCS,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/tcs-data-sheet/TCS-Data-Sheet-Q3FY25.xlsx
"Download TCS Data Sheet
								 link opens in new tab",TCS,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/tcs-data-sheet/TCS-Data-Sheet-Q3FY25.xlsx
"Annual Report 2023-24
                                
Open in New Tab",TCS,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2023-24/ar/annual-report-2023-2024.pdf
"Transcript
                                  about   TCS Q4 FY 2024-25 results",TCS,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/q4/Management%20Commentary/Transcript%20of%20the%20Q4%202024-25%20Earnings%20Conference%20Call%20held%20at%201900%20hrs%20IST%20on%20Apr%2010%2c%202025.pdf
"TCS Data Sheet
                   Download",TCS,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/tcs-data-sheet/TCS-Data-Sheet-Q3FY25.xlsx
"Audio Recording earnings conference call Q4FY25

10 Apr 2025
  Opens in new tab",TCS,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/corporate-actions/2024-25/audio-recording-earnings-conference-call-quarter-ended-mar-31-2025.pdf
"Newspaper Ad: Financial Results for March 31, 2025

12 Apr 2025
  Opens in new tab",TCS,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/corporate-actions/2024-25/newspaper-advertisement-financial-results-mar-31-2025.pdf
"Ms. Aarthi Subramanian as Executive Director President & COO

10 Apr 2025
  Opens in new tab",TCS,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/corporate-actions/2024-25/appointment-executive-director-president-chief-operating-officer.pdf
"Appointment of Mr. Mangesh Sathe as Chief Strategy Officer

10 Apr 2025
  Opens in new tab",TCS,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/corporate-actions/2024-25/mangesh-sathe-is-appointed-as-chief-strategy-officer.pdf
